ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-11-05,442004.54470937717,29468.081930268432,86948.57976295106,442004.54470937717,442004.54470937717,-382398.4644607693,-382398.4644607693,-382398.4644607693,9003.89778176,9003.89778176,9003.89778176,-391402.3622425293,-391402.3622425293,-391402.3622425293,0.0,0.0,0.0,59606.08024860785
2025-11-06,444848.3780226978,29562.65294923191,87332.78149213351,444848.3780226978,444848.3780226978,-387450.97759977734,-387450.97759977734,-387450.97759977734,5209.846597698696,5209.846597698696,5209.846597698696,-392660.82419747603,-392660.82419747603,-392660.82419747603,0.0,0.0,0.0,57397.40042292047
2025-11-07,447692.21133563604,30930.65089293568,87387.88112497254,447692.21133563604,447692.21133563604,-388224.64269654994,-388224.64269654994,-388224.64269654994,5986.024263470875,5986.024263470875,5986.024263470875,-394210.6669600208,-394210.6669600208,-394210.6669600208,0.0,0.0,0.0,59467.568639086094
2025-11-08,450536.04464857443,20598.59796051734,80490.03819184157,450536.04464857443,450536.04464857443,-399389.4284745589,-399389.4284745589,-399389.4284745589,-3319.00114881309,-3319.00114881309,-3319.00114881309,-396070.42732574587,-396070.42732574587,-396070.42732574587,0.0,0.0,0.0,51146.61617401551
2025-11-09,453379.8779615127,17923.06214716929,76560.83912193181,453379.8779615127,453379.8779615127,-408179.30364688224,-408179.30364688224,-408179.30364688224,-9943.521402433607,-9943.521402433607,-9943.521402433607,-398235.7822444486,-398235.7822444486,-398235.7822444486,0.0,0.0,0.0,45200.574314630474
2025-11-10,456223.7112747483,25721.02634149637,82501.25343741597,456223.7112747483,456223.7112747483,-401786.6675195822,-401786.6675195822,-401786.6675195822,-1107.7251617364363,-1107.7251617364363,-1107.7251617364363,-400678.9423578458,-400678.9423578458,-400678.9423578458,0.0,0.0,0.0,54437.043755166116
2025-11-11,459067.5445879841,19501.26830764101,78035.02752985456,459067.5445879841,459067.5445879841,-409178.6463127571,-409178.6463127571,-409178.6463127571,-5829.520929924645,-5829.520929924645,-5829.520929924645,-403349.1253828324,-403349.1253828324,-403349.1253828324,0.0,0.0,0.0,49888.898275226995
2025-11-12,461911.37790121965,35824.0233157018,94237.5190721326,461911.37790121965,461911.37790121965,-397170.210623082,-397170.210623082,-397170.210623082,9003.897781725515,9003.897781725515,9003.897781725515,-406174.10840480746,-406174.10840480746,-406174.10840480746,0.0,0.0,0.0,64741.16727813764
2025-11-13,464755.2112145836,32046.373430103762,88926.48248336258,464755.2112145836,464755.2112145836,-403852.96780709457,-403852.96780709457,-403852.96780709457,5209.8465977026135,5209.8465977026135,5209.8465977026135,-409062.81440479716,-409062.81440479716,-409062.81440479716,0.0,0.0,0.0,60902.24340748903
2025-11-14,467599.04452794767,34037.60396284423,90619.07236197813,467599.04452794767,467599.04452794767,-405922.8216606185,-405922.8216606185,-405922.8216606185,5986.024263490322,5986.024263490322,5986.024263490322,-411908.8459241088,-411908.8459241088,-411908.8459241088,0.0,0.0,0.0,61676.2228673292
2025-11-15,470442.8778413116,24378.912460006086,79546.5502261644,470442.8778413116,470442.8778413116,-417913.84072620596,-417913.84072620596,-417913.84072620596,-3319.0011488104915,-3319.0011488104915,-3319.0011488104915,-414594.8395773954,-414594.8395773954,-414594.8395773954,0.0,0.0,0.0,52529.03711510566
2025-11-16,473286.7111546756,17561.181487041657,77297.9478168112,473286.7111546756,473286.7111546756,-426941.00186584704,-426941.00186584704,-426941.00186584704,-9943.52140244009,-9943.52140244009,-9943.52140244009,-416997.48046340694,-416997.48046340694,-416997.48046340694,0.0,0.0,0.0,46345.70928882854
2025-11-17,476130.54446803953,26619.49305388417,86635.51354631518,476130.54446803953,476130.54446803953,-420100.71199913375,-420100.71199913375,-420100.71199913375,-1107.7251617477184,-1107.7251617477184,-1107.7251617477184,-418992.98683738604,-418992.98683738604,-418992.98683738604,0.0,0.0,0.0,56029.83246890578
